numero,articulo,epigrafe,libro,titulo,capitulo,seccion,tema,cubierto,entradas_catalogo,nombres_catalogo,texto_primeros_200
352,Art. 352 CP,Responsabilidad del funcionario o empleado público,Libro II,Título XIX,Capítulo III,,delitos,NO,0,,"El funcionario o empleado público que haya autorizado, dictaminado o informado favorablemente o tolerado la realización de los hechos previstos en este título, a sabiendas de su ilegalidad, debe ser c"
353,Art. 353 CP,Responsabilidad de las personas jurídicas,Libro II,Título XIX,Capítulo III,,delitos,NO,0,,"Cuando, de acuerdo con lo establecido en el Artículo 102 del presente Código, una persona jurídica sea responsable de los delitos contenidos en este título, se le debe imponer la pena de multa por una"
354,Art. 354 CP,Atenuantes específicas,Libro II,Título XIX,Capítulo III,,delitos,NO,0,,El Órgano Jurisdiccional competente puede rebajar las penas a imponer por los hechos previstos en este título hasta en dos tercios (2/3) en los casos siguientes:  1) El sujeto haya procedido voluntari
355,Art. 355 CP,Restauración del patrimonio cultural,Libro II,Título XIX,Capítulo III,,delitos,NO,0,,"El Órgano Jurisdiccional competente debe ordenar la adopción a cargo del autor del hecho de las medidas necesarias para reparar el daño causado, incluyendo en su caso, el retomo de los bienes a su lug"
356,Art. 356 CP,Reincidencia internacional,Libro II,Título XIX,Capítulo III,,delitos,NO,0,,"La condena proferida por un Órgano Jurisdiccional extranjero por delitos de la misma naturaleza que los previstos en este título produce los efectos de la reincidencia, salvo que los antecedentes pena"
357,Art. 357 CP,Hurto simple,Libro II,Título XX,Capítulo I,,delitos,NO,0,,"Quien con ánimo de lucro para sí o para un tercero y sin consentimiento, se apodera de una cosa mueble ajena cuyo valor exceda de Cinco Mil Lempiras (L.5,000), debe ser castigado con la pena de prisió"
358,Art. 358 CP,Hurto de ganado o cosechas,Libro II,Título XX,Capítulo I,,delitos,NO,0,,"Se comete el delito de hurto de ganado, en los casos siguientes:  1) Ganado mayor con un valor superior a Cinco Mil Lempiras (L.5,000), debe ser castigado con la pena de prisión de dos (2) a cuatro (4"
359,Art. 359 CP,Hurto de posesión,Libro II,Título XX,Capítulo I,,delitos,NO,0,,"El dueño de una cosa mueble u otra persona con su consentimiento, que priva de ella a quien la tenga legítimamente en su poder, con perjuicio del poseedor o de un tercero, debe ser castigado con la pe"
360,Art. 360 CP,Robo con fuerza,Libro II,Título XX,Capítulo II,,delitos,NO,0,,"Quien con ánimo de lucro, se apodera de cosa mueble ajena utilizando fuerza en las cosas, debe ser castigado con la pena de prisión de dos (2) a cuatro (4) años.  A los efectos de este precepto se ent"
361,Art. 361 CP,Robo con violencia o intimidación,Libro II,Título XX,Capítulo II,,delitos,NO,0,,"Quien, con ánimo de lucro, se apodera de cosa mueble ajena empleando violencia o intimidación en las personas, debe ser castigado con la pena de prisión de cuatro (4) a ocho (8) años, sin perjuicio de"
362,Art. 362 CP,Robo de ganado,Libro II,Título XX,Capítulo II,,delitos,NO,0,,"Quien empleando fuerza en las cosas, comete el delito de robo de ganado, debe ser castigado de la forma siguiente:  1) Ganado mayor, con la pena de prisión de cuatro (4) a seis (6) años; o,  2) Ganado"
363,Art. 363 CP,Agravantes específicas,Libro II,Título XX,Capítulo III,,delitos,NO,0,,Las penas de hurto o robo se deben aumentar en un tercio (1/3) cuando concurra alguna de las circunstancias siguientes:
364,Art. 364 CP,Hurto y robo de uso de vehículo automotor,Libro II,Título XX,Capítulo IV,,delitos,NO,0,,"Quien, sin ánimo de apropiación, sustrae o utiliza sin la debida autorización un vehículo automotor debe ser castigado con la pena de uno (1) a tres (3) años de prisión, si lo devuelve al lugar donde "
365,Art. 365 CP,Estafa,Libro II,Título XX,Capítulo V,,delitos,SI,7,Estafa; Publicidad engañosa; Estafa con abuso de firma en blanco; Estafa cambiaria; Publicidad engañosa sobre productos de salud...,"Comete estafa quien con ánimo de lucro, utiliza engaño suficiente para producir error en otro y le induce a realizar un acto de disposición en perjuicio propio o ajeno. También se comete el delito de "
366,Art. 366 CP,Agravantes específicas,Libro II,Título XX,Capítulo V,,delitos,SI,8,Estafa agravada; Fraude de subvenciones; Estafa de seguro; Fraude de inversores; Fraude a la administración...,Las penas previstas en este capítulo se deben aumentar en un tercio (1/3) si concurre alguna de las circunstancias siguientes:  1) Los hechos recaen sobre cosas de primera necesidad o destinadas a un 
367,Art. 367 CP,Estafas impropias,Libro II,Título XX,Capítulo V,,delitos,SI,2,Acceso no autorizado a sistemas informáticos; Acceso no autorizado a sistemas,"Se debe castigar con la pena de prisión de tres (3) a cinco (5) años, quien ejecute alguna de las conductas siguientes:  1) Quien en perjuicio de tercero, dispone de una cosa mueble o inmueble ocultan"
368,Art. 368 CP,Responsabilidad de las personas jurídicas,Libro II,Título XX,Capítulo V,,delitos,SI,3,Abuso de dispositivos informáticos; Fraude informático; Transferencia fraudulenta,"Cuando de acuerdo con lo establecido en el Artículo 102 del presente Código, una persona jurídica sea responsable de los delitos comprendidos en este capítulo, se le debe imponer la pena de clausura d"
369,Art. 369 CP,"Defraudaciones de energía, fluidos y telecomunicaciones",Libro II,Título XX,Capítulo V,,delitos,NO,0,,"Quien con ánimo de lucro, se apodera, sustrae o utiliza electricidad, gas, agua, telecomunicaciones, energía o fluidos ajenos, empleando medios clandestinos o no autorizados para ello, debe ser castig"
370,Art. 370 CP,Administración fraudulenta,Libro II,Título XX,Capítulo VI,,delitos,NO,0,,"Quien teniendo facultades otorgadas por Ley, resolución judicial o administrativa o negocio jurídico para administrar un patrimonio ajeno, se excede en su ejercicio y causa un perjuicio al patrimonio "
