articulo,epigrafe,libro,titulo,capitulo
Art. 400 CP,Abuso de dispositivos,Libro II,Título XXII,Capítulo III
Art. 401 CP,Suplantación de identidad,Libro II,Título XXII,Capítulo III
Art. 402 CP,Circunstancias agravantes,Libro II,Título XXII,Capítulo III
Art. 403 CP,Responsabilidad de las personas jurídicas,Libro II,Título XXII,Capítulo III
Art. 404 CP,Reglas especiales de jurisdicción,Libro II,Título XXII,Capítulo III
Art. 406 CP,Delito de quiebra fraudulenta,Libro II,Título XXIII,Capítulo I
Art. 407 CP,Agravantes específicas,Libro II,Título XXIII,Capítulo I
Art. 408 CP,Alzamiento de bienes,Libro II,Título XXIII,Capítulo I
Art. 409 CP,Insolvencia fraudulenta,Libro II,Título XXIII,Capítulo I
Art. 410 CP,Liquidación forzosa de instituciones financieras,Libro II,Título XXIII,Capítulo I
Art. 411 CP,Responsabilidad de las personas jurídicas,Libro II,Título XXIII,Capítulo I
Art. 412 CP,Detracción de materias primas u otros productos,Libro II,Título XXIII,Capítulo II
Art. 413 CP,Difusión de noticias o rumores falsos y abuso de información privilegiada,Libro II,Título XXIII,Capítulo II
Art. 414 CP,Agiotaje,Libro II,Título XXIII,Capítulo II
Art. 415 CP,Acuerdos y prácticas restrictivas de la competencia,Libro II,Título XXIII,Capítulo II
Art. 416 CP,Obstaculización de procesos de licitación o subastas,Libro II,Título XXIII,Capítulo II
Art. 417 CP,Responsabilidad de las personas jurídicas,Libro II,Título XXIII,Capítulo II
Art. 418 CP,Corrupción en los negocios entre particulares,Libro II,Título XXIII,Capítulo III
Art. 419 CP,Corrupción en el deporte,Libro II,Título XXIII,Capítulo III
Art. 420 CP,Punición de actos preparatorios,Libro II,Título XXIII,Capítulo III
Art. 421 CP,Atenuantes específicas,Libro II,Título XXIII,Capítulo III
Art. 423 CP,Gestión abusiva,Libro II,Título XXIII,Capítulo IV
Art. 424 CP,Obtención de acuerdo mediante mayoría ficticia,Libro II,Título XXIII,Capítulo IV
Art. 426 CP,Procedibilidad,Libro II,Título XXIII,Capítulo IV
Art. 427 CP,Concepto de sociedad,Libro II,Título XXIII,Capítulo IV
Art. 429 CP,Penalidad del delito de contrabando,Libro II,Título XXIV,Capítulo I
Art. 431 CP,Defraudación fiscal,Libro II,Título XXIV,Capítulo II
Art. 432 CP,Fraude de subvenciones y ayudas,Libro II,Título XXIV,Capítulo II
Art. 433 CP,Delito contable,Libro II,Título XXIV,Capítulo II
Art. 434 CP,Responsabilidad de las personas jurídicas,Libro II,Título XXIV,Capítulo II
Art. 435 CP,Fraude a la Seguridad Social o al Sistema de Pensiones,Libro II,Título XXIV,Capítulo III
Art. 436 CP,Apropiación indebida de cuotas o aportaciones,Libro II,Título XXIV,Capítulo III
Art. 437 CP,Responsabilidad de las personas jurídicas,Libro II,Título XXIV,Capítulo III
Art. 439 CP,Lavado de activos,Libro II,Título XXV,Capítulo III
Art. 440 CP,Lavado de activos imprudente,Libro II,Título XXV,Capítulo III
Art. 441 CP,Punición de actos preparatorios,Libro II,Título XXV,Capítulo III
Art. 442 CP,Testaferrato,Libro II,Título XXV,Capítulo III
Art. 443 CP,Infidencia,Libro II,Título XXV,Capítulo III
Art. 444 CP,Responsabilidad de las personas jurídicas,Libro II,Título XXV,Capítulo III
Art. 445 CP,Extensión de la jurisdicción,Libro II,Título XXV,Capítulo III
Art. 446 CP,Penalidad,Libro II,Título XXV,Capítulo III
Art. 447 CP,Falsificación de moneda,Libro II,Título XXVI,Capítulo I
Art. 448 CP,Tráfico de monedas falsas,Libro II,Título XXVI,Capítulo I
Art. 449 CP,Tenencia de moneda falsa para su puesta en circulación,Libro II,Título XXVI,Capítulo I
Art. 450 CP,Fabricación o tenencia de instrumentos para la falsificación de moneda,Libro II,Título XXVI,Capítulo I
Art. 451 CP,Agravantes específicas,Libro II,Título XXVI,Capítulo I
Art. 452 CP,Reincidencia internacional,Libro II,Título XXVI,Capítulo I
Art. 453 CP,Falsificación de sellos y otros efectos timbrados,Libro II,Título XXVI,Capítulo II
