path,size_bytes,refs,sample,candidate
public/images/blog/hondurenos-en-espana-guia-legal-completa.webp,183628,3,.backups/fase6-lote-8-backup.json | .backups/fase6d-pre-restore-wrong-articles.json | lib/blog-helpers.ts,used
public/images/blog/contratacion-publica-licitaciones-empresas-honduras.webp,215554,1,docs/audits/fase7/lote-A/contratacion-publica-licitaciones/tecnico-schema.json,used
public/images/blog/herencias-transfronterizas-bienes-honduras-espana.webp,22326,1,.backups/fase6-lote-11-backup.json,used
public/images/blog/contratos-mercantiles-proteger-negocio.webp,43734,0,,unreferenced
public/images/blog/registrar-marca-honduras-paso-a-paso.webp,26150,1,.backups/fase6-lote-9-backup.json,used
public/images/blog/nacionalidad-espanola-para-hondurenos-residencia-plazos.webp,68824,1,.backups/fase6-lote-11-backup.json,used
public/images/blog/poder-desde-espana-para-tramites-honduras.webp,112948,1,.backups/fase6-lote-10-backup.json,used
public/images/blog/pexels-ekaterina-bolovtsova-6077861.avif,51520,0,,unreferenced
public/images/blog/codigo-aduanero-centroamericano-basico-honduras.webp,83430,2,.backups/fase6d-lote-12-backup.json | docs/audits/fase7/lote-A/codigo-aduanero-centroamericano/tecnico-schema.json,used
public/images/blog/sobreseimiento-definitivo-provisional-diferencias-honduras.webp,68880,1,.backups/fase6-lote-5-backup.json,used
public/images/blog/pension-alimenticia-honduras-guia-completa.webp,42796,4,.backups/fase6d-lote-12-backup.json | .backups/fase6d-lote-14-backup.json | scripts/target_posts.json | auditoria-seo/assets/assets-pendientes.md,used
public/images/blog/reclamar-deuda-legalmente-honduras.webp,45120,1,.backups/fase6d-lote-12-backup.json,used
public/images/blog/derechos-consumidor-financiero-honduras-cnbs.webp,25766,1,.backups/fase6-lote-6-backup.json,used
public/images/blog/derechos-de-autor-proteccion-registro-honduras.webp,94626,1,.backups/fase6-lote-5-backup.json,used
public/images/blog/estafas-fraudes-tipos-penales-honduras.webp,44246,1,.backups/fase6d-lote-13-backup.json,used
public/images/blog/abogados-en-amapala-valle.webp,15878,0,,unreferenced
public/images/blog/union-de-hecho-requisitos-derechos-honduras.webp,171312,1,.backups/fase6d-lote-13-backup.json,used
public/images/blog/diferencia-denuncia-querella-acusacion-honduras.webp,59484,2,.backups/fase6d-lote-12-backup.json | lib/blog-helpers.ts,used
public/images/blog/proteccion-datos-personales-derechos-arco-honduras.webp,75434,1,.backups/fase6d-lote-13-backup.json,used
public/images/blog/custodia-hijos-honduras-juez.webp,34496,1,.backups/fase6d-lote-13-backup.json,used
public/images/blog/pexels-ekaterina-bolovtsova-6077861.webp,63986,0,,unreferenced
public/images/blog/isv-impuesto-venta-tasas-obligaciones-honduras.webp,138798,1,.backups/fase6-lote-6-backup.json,used
public/images/blog/contratos-arrendamiento-derechos-obligaciones-honduras.webp,84610,1,.backups/fase6d-lote-12-backup.json,used
public/images/blog/danos-perjuicios-indemnizacion-honduras.webp,223614,1,.backups/fase6d-lote-13-backup.json,used
public/images/blog/testamentos-sucesiones-herencia-honduras.webp,43284,1,.backups/fase6-lote-5-backup.json,used
